flight_id,dep_airport_icao,arrival_airport_icao,airline_icao,departure_time,departure_timezone,arrival_time,arrival_timezone
VIR3948,KATL,EHAM,VIR,20:20:00,America/New_York,10:50:00,Europe/Amsterdam
KLM6012,KATL,EHAM,KLM,20:20:00,America/New_York,10:50:00,Europe/Amsterdam
AFR3655,KATL,EHAM,AFR,20:20:00,America/New_York,10:50:00,Europe/Amsterdam
VIR5071,KATL,KDFW,VIR,22:05:00,America/New_York,23:25:00,America/Chicago
KLM6336,KATL,KDFW,KLM,22:05:00,America/New_York,23:25:00,America/Chicago
KAL3706,KATL,KDFW,KAL,22:05:00,America/New_York,23:25:00,America/Chicago
VIR4461,KATL,KORD,VIR,22:07:00,America/New_York,23:04:00,America/Chicago
KLM6430,KATL,KORD,KLM,22:07:00,America/New_York,23:04:00,America/Chicago
KAL3775,KATL,KORD,KAL,22:07:00,America/New_York,23:04:00,America/Chicago
AMX3294,KATL,KORD,AMX,22:07:00,America/New_York,23:04:00,America/Chicago
AFR2712,KATL,KORD,AFR,22:07:00,America/New_York,23:04:00,America/Chicago
VIR5129,KATL,KLAS,VIR,19:30:00,America/New_York,21:05:00,America/Los_Angeles
KLM5756,KATL,KLAS,KLM,19:30:00,America/New_York,21:05:00,America/Los_Angeles
AZA3098,KATL,KLAS,AZA,19:30:00,America/New_York,21:05:00,America/Los_Angeles
AFR8838,KATL,KLAS,AFR,19:30:00,America/New_York,21:05:00,America/Los_Angeles
AFR3460,KATL,KDFW,AFR,22:05:00,America/New_York,23:25:00,America/Chicago
VIR4760,KATL,KJFK,VIR,21:43:00,America/New_York,23:56:00,America/New_York
KAL7306,KATL,KJFK,KAL,21:43:00,America/New_York,23:56:00,America/New_York
CSN1003,KATL,KJFK,CSN,21:43:00,America/New_York,23:56:00,America/New_York
AZA3369,KATL,KJFK,AZA,21:43:00,America/New_York,23:56:00,America/New_York
AMX4160,KATL,KJFK,AMX,21:43:00,America/New_York,23:56:00,America/New_York
VIR5285,KATL,KSFO,VIR,21:22:00,America/New_York,23:57:00,America/Los_Angeles
AMX3218,KATL,KSFO,AMX,21:22:00,America/New_York,23:57:00,America/Los_Angeles
AFR2395,KATL,KSFO,AFR,21:22:00,America/New_York,23:57:00,America/Los_Angeles
VIR4699,KATL,KDEN,VIR,21:14:00,America/New_York,22:38:00,America/Denver
KLM6882,KATL,KDEN,KLM,21:14:00,America/New_York,22:38:00,America/Denver
AMX3093,KATL,KDEN,AMX,21:14:00,America/New_York,22:38:00,America/Denver
AFR2934,KATL,KDEN,AFR,21:14:00,America/New_York,22:38:00,America/Denver
VIR5029,KATL,KLAS,VIR,21:06:00,America/New_York,22:45:00,America/Los_Angeles
KAL7190,KATL,KLAS,KAL,21:06:00,America/New_York,22:45:00,America/Los_Angeles
AFR2671,KATL,KLAS,AFR,21:06:00,America/New_York,22:45:00,America/Los_Angeles
AAL6171,KATL,EGLL,AAL,21:05:00,America/New_York,10:00:00,Europe/London
IBE7410,KATL,EGLL,IBE,21:05:00,America/New_York,10:00:00,Europe/London
EIN8926,KATL,EGLL,EIN,21:05:00,America/New_York,10:00:00,Europe/London
FIN5426,KATL,EGLL,FIN,21:05:00,America/New_York,10:00:00,Europe/London
GEC8175,KATL,EDDF,GEC,21:00:00,America/New_York,11:30:00,Europe/Berlin
WJA7557,KATL,KJFK,WJA,19:28:00,America/New_York,21:45:00,America/New_York
VIR4860,KATL,KJFK,VIR,19:28:00,America/New_York,21:45:00,America/New_York
CES8870,KATL,KJFK,CES,19:28:00,America/New_York,21:45:00,America/New_York
VIR5173,KATL,KMCO,VIR,22:40:00,America/New_York,0:08:00,America/New_York
KLM6474,KATL,KMCO,KLM,22:40:00,America/New_York,0:08:00,America/New_York
KAL6949,KATL,KMCO,KAL,22:40:00,America/New_York,0:08:00,America/New_York
AMX3648,KATL,KMCO,AMX,22:40:00,America/New_York,0:08:00,America/New_York
WJA6311,KATL,CYYZ,WJA,22:15:00,America/New_York,0:25:00,America/Toronto
KLM5484,KATL,CYYZ,KLM,22:15:00,America/New_York,0:25:00,America/Toronto
KAL3765,KATL,CYYZ,KAL,22:15:00,America/New_York,0:25:00,America/Toronto
AMX4268,KATL,CYYZ,AMX,22:15:00,America/New_York,0:25:00,America/Toronto
